(2.10,-1.42514,2.64761)|(2.10,-0.82133,1.26996)|(2.10,-0.62264,0.97224)|(2.10,-0.51185,0.83894)|(2.10,-0.43740,0.76222)|(2.10,-0.38215,0.71184)|(2.10,-0.33853,0.67591)|(2.10,-0.30259,0.64881)|(2.10,-0.27203,0.62750)|(2.10,-0.24542,0.61021)|(2.10,-0.22180,0.59583)|(2.10,-0.20050,0.58362)|(2.10,-0.18104,0.57308)|(2.10,-0.16305,0.56385)|(2.10,-0.14628,0.55567)|(2.10,-0.13049,0.54834)|(2.10,-0.11552,0.54171)|(2.10,-0.10123,0.53566)|(2.10,-0.08749,0.53010)|(2.10,-0.07422,0.52496)|(2.10,-0.06132,0.52017)|(2.10,-0.04871,0.51568)|(2.10,-0.03634,0.51145)|(2.10,-0.02414,0.50745)|(2.10,-0.01204,0.50364)|(2.10,0.00000,0.50000)|(2.10,0.01204,0.49651)|(2.10,0.02414,0.49313)|(2.10,0.03634,0.48987)|(2.10,0.04871,0.48670)|(2.10,0.06132,0.48359)|(2.10,0.07422,0.48055)|(2.10,0.08749,0.47755)|(2.10,0.10123,0.47459)|(2.10,0.11552,0.47164)|(2.10,0.13049,0.46869)|(2.10,0.14628,0.46573)|(2.10,0.16305,0.46273)|(2.10,0.18104,0.45969)|(2.10,0.20050,0.45658)|(2.10,0.22180,0.45337)|(2.10,0.24542,0.45002)|(2.10,0.27203,0.44650)|(2.10,0.30259,0.44275)|(2.10,0.33853,0.43869)|(2.10,0.38215,0.43420)|(2.10,0.43740,0.42909)|(2.10,0.51185,0.42305)|(2.10,0.62264,0.41544)|(2.10,0.82133,0.40463)|(2.10,1.42514,0.38342)
(2.20,-1.85892,4.15417)|(2.20,-1.09295,1.86035)|(2.20,-0.83557,1.34660)|(2.20,-0.69044,1.11264)|(2.20,-0.59213,0.97648)|(2.20,-0.51873,0.88633)|(2.20,-0.46049,0.82165)|(2.20,-0.41231,0.77261)|(2.20,-0.37120,0.73390)|(2.20,-0.33529,0.70240)|(2.20,-0.30332,0.67612)|(2.20,-0.27443,0.65377)|(2.20,-0.24797,0.63444)|(2.20,-0.22349,0.61749)|(2.20,-0.20060,0.60244)|(2.20,-0.17904,0.58895)|(2.20,-0.15857,0.57674)|(2.20,-0.13900,0.56560)|(2.20,-0.12018,0.55536)|(2.20,-0.10197,0.54589)|(2.20,-0.08426,0.53706)|(2.20,-0.06695,0.52880)|(2.20,-0.04995,0.52103)|(2.20,-0.03318,0.51367)|(2.20,-0.01655,0.50668)|(2.20,0.00000,0.50000)|(2.20,0.01655,0.49360)|(2.20,0.03318,0.48743)|(2.20,0.04995,0.48147)|(2.20,0.06695,0.47568)|(2.20,0.08426,0.47004)|(2.20,0.10197,0.46451)|(2.20,0.12018,0.45908)|(2.20,0.13900,0.45372)|(2.20,0.15857,0.44840)|(2.20,0.17904,0.44310)|(2.20,0.20060,0.43780)|(2.20,0.22349,0.43246)|(2.20,0.24797,0.42705)|(2.20,0.27443,0.42154)|(2.20,0.30332,0.41588)|(2.20,0.33529,0.41002)|(2.20,0.37120,0.40388)|(2.20,0.41231,0.39739)|(2.20,0.46049,0.39041)|(2.20,0.51873,0.38275)|(2.20,0.59213,0.37414)|(2.20,0.69044,0.36407)|(2.20,0.83557,0.35157)|(2.20,1.09295,0.33420)|(2.20,1.85892,0.30141)
(2.30,-2.11418,5.22770)|(2.30,-1.26559,2.32081)|(2.30,-0.97490,1.64820)|(2.30,-0.80929,1.33708)|(2.30,-0.69630,1.15417)|(2.30,-0.61146,1.03216)|(2.30,-0.54384,0.94412)|(2.30,-0.48769,0.87708)|(2.30,-0.43962,0.82396)|(2.30,-0.39751,0.78060)|(2.30,-0.35994,0.74435)|(2.30,-0.32590,0.71345)|(2.30,-0.29468,0.68668)|(2.30,-0.26574,0.66318)|(2.30,-0.23865,0.64230)|(2.30,-0.21309,0.62356)|(2.30,-0.18880,0.60660)|(2.30,-0.16555,0.59111)|(2.30,-0.14317,0.57687)|(2.30,-0.12151,0.56370)|(2.30,-0.10043,0.55144)|(2.30,-0.07981,0.53996)|(2.30,-0.05956,0.52916)|(2.30,-0.03956,0.51895)|(2.30,-0.01974,0.50925)|(2.30,0.00000,0.50000)|(2.30,0.01974,0.49114)|(2.30,0.03956,0.48262)|(2.30,0.05956,0.47439)|(2.30,0.07981,0.46641)|(2.30,0.10043,0.45865)|(2.30,0.12151,0.45106)|(2.30,0.14317,0.44362)|(2.30,0.16555,0.43629)|(2.30,0.18880,0.42905)|(2.30,0.21309,0.42184)|(2.30,0.23865,0.41465)|(2.30,0.26574,0.40744)|(2.30,0.29468,0.40016)|(2.30,0.32590,0.39276)|(2.30,0.35994,0.38520)|(2.30,0.39751,0.37741)|(2.30,0.43962,0.36930)|(2.30,0.48769,0.36076)|(2.30,0.54384,0.35164)|(2.30,0.61146,0.34173)|(2.30,0.69630,0.33066)|(2.30,0.80929,0.31788)|(2.30,0.97490,0.30222)|(2.30,1.26559,0.28090)|(2.30,2.11418,0.24205)
(2.40,-2.28042,6.00227)|(2.40,-1.38745,2.68532)|(2.40,-1.07609,1.89463)|(2.40,-0.89702,1.52362)|(2.40,-0.77402,1.30345)|(2.40,-0.68119,1.15558)|(2.40,-0.60690,1.04833)|(2.40,-0.54498,0.96631)|(2.40,-0.49183,0.90111)|(2.40,-0.44515,0.84775)|(2.40,-0.40340,0.80302)|(2.40,-0.36552,0.76483)|(2.40,-0.33071,0.73170)|(2.40,-0.29838,0.70258)|(2.40,-0.26809,0.67668)|(2.40,-0.23947,0.65342)|(2.40,-0.21224,0.63235)|(2.40,-0.18616,0.61311)|(2.40,-0.16104,0.59542)|(2.40,-0.13670,0.57905)|(2.40,-0.11300,0.56381)|(2.40,-0.08982,0.54956)|(2.40,-0.06703,0.53615)|(2.40,-0.04453,0.52348)|(2.40,-0.02222,0.51146)|(2.40,0.00000,0.50000)|(2.40,0.02222,0.48904)|(2.40,0.04453,0.47850)|(2.40,0.06703,0.46834)|(2.40,0.08982,0.45851)|(2.40,0.11300,0.44896)|(2.40,0.13670,0.43964)|(2.40,0.16104,0.43051)|(2.40,0.18616,0.42155)|(2.40,0.21224,0.41270)|(2.40,0.23947,0.40392)|(2.40,0.26809,0.39519)|(2.40,0.29838,0.38645)|(2.40,0.33071,0.37766)|(2.40,0.36552,0.36877)|(2.40,0.40340,0.35971)|(2.40,0.44515,0.35041)|(2.40,0.49183,0.34078)|(2.40,0.54498,0.33070)|(2.40,0.60690,0.32000)|(2.40,0.68119,0.30844)|(2.40,0.77402,0.29566)|(2.40,0.89702,0.28103)|(2.40,1.07609,0.26335)|(2.40,1.38745,0.23971)|(2.40,2.28042,0.19802)
(2.50,-2.39398,6.56651)|(2.50,-1.47817,2.97770)|(2.50,-1.15355,2.09849)|(2.50,-0.96521,1.68049)|(2.50,-0.83505,1.43028)|(2.50,-0.73636,1.26119)|(2.50,-0.65706,1.13794)|(2.50,-0.59077,1.04333)|(2.50,-0.53371,0.96790)|(2.50,-0.48347,0.90599)|(2.50,-0.43846,0.85400)|(2.50,-0.39753,0.80953)|(2.50,-0.35987,0.77090)|(2.50,-0.32485,0.73690)|(2.50,-0.29199,0.70664)|(2.50,-0.26091,0.67944)|(2.50,-0.23131,0.65479)|(2.50,-0.20295,0.63228)|(2.50,-0.17560,0.61157)|(2.50,-0.14909,0.59241)|(2.50,-0.12326,0.57458)|(2.50,-0.09799,0.55790)|(2.50,-0.07313,0.54222)|(2.50,-0.04859,0.52742)|(2.50,-0.02424,0.51337)|(2.50,0.00000,0.50000)|(2.50,0.02424,0.48721)|(2.50,0.04859,0.47494)|(2.50,0.07313,0.46312)|(2.50,0.09799,0.45170)|(2.50,0.12326,0.44061)|(2.50,0.14909,0.42982)|(2.50,0.17560,0.41926)|(2.50,0.20295,0.40891)|(2.50,0.23131,0.39872)|(2.50,0.26091,0.38863)|(2.50,0.29199,0.37862)|(2.50,0.32485,0.36863)|(2.50,0.35987,0.35861)|(2.50,0.39753,0.34850)|(2.50,0.43846,0.33824)|(2.50,0.48347,0.32776)|(2.50,0.53371,0.31694)|(2.50,0.59077,0.30568)|(2.50,0.65706,0.29379)|(2.50,0.73636,0.28103)|(2.50,0.83505,0.26703)|(2.50,0.96521,0.25115)|(2.50,1.15355,0.23220)|(2.50,1.47817,0.20728)|(2.50,2.39398,0.16465)
(2.60,-2.47369,6.98030)|(2.60,-1.54800,3.21497)|(2.60,-1.21486,2.26901)|(2.60,-1.01999,1.81379)|(2.60,-0.88455,1.53913)|(2.60,-0.78140,1.35243)|(2.60,-0.69824,1.21574)|(2.60,-0.62851,1.11044)|(2.60,-0.56834,1.02623)|(2.60,-0.51525,0.95697)|(2.60,-0.46760,0.89869)|(2.60,-0.42420,0.84876)|(2.60,-0.38420,0.80533)|(2.60,-0.34696,0.76706)|(2.60,-0.31198,0.73298)|(2.60,-0.27887,0.70232)|(2.60,-0.24731,0.67453)|(2.60,-0.21703,0.64913)|(2.60,-0.18782,0.62577)|(2.60,-0.15950,0.60416)|(2.60,-0.13189,0.58404)|(2.60,-0.10485,0.56523)|(2.60,-0.07826,0.54755)|(2.60,-0.05200,0.53087)|(2.60,-0.02595,0.51505)|(2.60,0.00000,0.50000)|(2.60,0.02595,0.48562)|(2.60,0.05200,0.47184)|(2.60,0.07826,0.45857)|(2.60,0.10485,0.44576)|(2.60,0.13189,0.43335)|(2.60,0.15950,0.42128)|(2.60,0.18782,0.40951)|(2.60,0.21703,0.39797)|(2.60,0.24731,0.38663)|(2.60,0.27887,0.37544)|(2.60,0.31198,0.36436)|(2.60,0.34696,0.35332)|(2.60,0.38420,0.34228)|(2.60,0.42420,0.33118)|(2.60,0.46760,0.31996)|(2.60,0.51525,0.30852)|(2.60,0.56834,0.29677)|(2.60,0.62851,0.28459)|(2.60,0.69824,0.27180)|(2.60,0.78140,0.25816)|(2.60,0.88455,0.24329)|(2.60,1.01999,0.22659)|(2.60,1.21486,0.20686)|(2.60,1.54800,0.18133)|(2.60,2.47369,0.13886)
(2.70,-2.53051,7.28489)|(2.70,-1.60307,3.40956)|(2.70,-1.26454,2.41307)|(2.70,-1.06502,1.92813)|(2.70,-0.92561,1.63337)|(2.70,-0.81902,1.43193)|(2.70,-0.73280,1.28384)|(2.70,-0.66030,1.16937)|(2.70,-0.59760,1.07760)|(2.70,-0.54218,1.00195)|(2.70,-0.49234,0.93818)|(2.70,-0.44688,0.88346)|(2.70,-0.40493,0.83581)|(2.70,-0.36583,0.79378)|(2.70,-0.32906,0.75632)|(2.70,-0.29422,0.72260)|(2.70,-0.26099,0.69202)|(2.70,-0.22909,0.66407)|(2.70,-0.19830,0.63835)|(2.70,-0.16842,0.61456)|(2.70,-0.13928,0.59242)|(2.70,-0.11075,0.57171)|(2.70,-0.08267,0.55227)|(2.70,-0.05493,0.53392)|(2.70,-0.02741,0.51653)|(2.70,0.00000,0.50000)|(2.70,0.02741,0.48422)|(2.70,0.05493,0.46910)|(2.70,0.08267,0.45457)|(2.70,0.11075,0.44055)|(2.70,0.13928,0.42698)|(2.70,0.16842,0.41381)|(2.70,0.19830,0.40097)|(2.70,0.22909,0.38842)|(2.70,0.26099,0.37610)|(2.70,0.29422,0.36396)|(2.70,0.32906,0.35196)|(2.70,0.36583,0.34005)|(2.70,0.40493,0.32816)|(2.70,0.44688,0.31624)|(2.70,0.49234,0.30422)|(2.70,0.54218,0.29201)|(2.70,0.59760,0.27952)|(2.70,0.66030,0.26663)|(2.70,0.73280,0.25315)|(2.70,0.81902,0.23886)|(2.70,0.92561,0.22339)|(2.70,1.06502,0.20614)|(2.70,1.26454,0.18598)|(2.70,1.60307,0.16027)|(2.70,2.53051,0.11861)
(2.80,-2.57132,7.50924)|(2.80,-1.64731,3.57066)|(2.80,-1.30554,2.53587)|(2.80,-1.10270,2.02702)|(2.80,-0.96027,1.71561)|(2.80,-0.85096,1.50174)|(2.80,-0.76228,1.34389)|(2.80,-0.68752,1.22152)|(2.80,-0.62273,1.12316)|(2.80,-0.56536,1.04191)|(2.80,-0.51368,0.97331)|(2.80,-0.46648,0.91437)|(2.80,-0.42286,0.86298)|(2.80,-0.38217,0.81761)|(2.80,-0.34387,0.77714)|(2.80,-0.30755,0.74070)|(2.80,-0.27288,0.70763)|(2.80,-0.23957,0.67740)|(2.80,-0.20741,0.64958)|(2.80,-0.17618,0.62384)|(2.80,-0.14572,0.59989)|(2.80,-0.11588,0.57749)|(2.80,-0.08650,0.55646)|(2.80,-0.05748,0.53663)|(2.80,-0.02868,0.51785)|(2.80,0.00000,0.50000)|(2.80,0.02868,0.48297)|(2.80,0.05748,0.46667)|(2.80,0.08650,0.45102)|(2.80,0.11588,0.43593)|(2.80,0.14572,0.42135)|(2.80,0.17618,0.40720)|(2.80,0.20741,0.39344)|(2.80,0.23957,0.38000)|(2.80,0.27288,0.36683)|(2.80,0.30755,0.35388)|(2.80,0.34387,0.34111)|(2.80,0.38217,0.32844)|(2.80,0.42286,0.31584)|(2.80,0.46648,0.30323)|(2.80,0.51368,0.29055)|(2.80,0.56536,0.27772)|(2.80,0.62273,0.26463)|(2.80,0.68752,0.25117)|(2.80,0.76228,0.23717)|(2.80,0.85096,0.22240)|(2.80,0.96027,0.20651)|(2.80,1.10270,0.18892)|(2.80,1.30554,0.16857)|(2.80,1.64731,0.14296)|(2.80,2.57132,0.10246)
(2.90,-2.60065,7.67395)|(2.90,-1.68337,3.70516)|(2.90,-1.33988,2.64139)|(2.90,-1.13468,2.11321)|(2.90,-0.98993,1.78791)|(2.90,-0.87846,1.56345)|(2.90,-0.78776,1.39721)|(2.90,-0.71113,1.26795)|(2.90,-0.64459,1.16382)|(2.90,-0.58556,1.07764)|(2.90,-0.53231,1.00477)|(2.90,-0.48361,0.94207)|(2.90,-0.43857,0.88735)|(2.90,-0.39650,0.83900)|(2.90,-0.35687,0.79584)|(2.90,-0.31926,0.75695)|(2.90,-0.28332,0.72165)|(2.90,-0.24879,0.68937)|(2.90,-0.21542,0.65966)|(2.90,-0.18302,0.63216)|(2.90,-0.15139,0.60659)|(2.90,-0.12040,0.58268)|(2.90,-0.08989,0.56023)|(2.90,-0.05973,0.53906)|(2.90,-0.02981,0.51903)|(2.90,0.00000,0.50000)|(2.90,0.02981,0.48186)|(2.90,0.05973,0.46450)|(2.90,0.08989,0.44785)|(2.90,0.12040,0.43182)|(2.90,0.15139,0.41633)|(2.90,0.18302,0.40133)|(2.90,0.21542,0.38675)|(2.90,0.24879,0.37253)|(2.90,0.28332,0.35862)|(2.90,0.31926,0.34497)|(2.90,0.35687,0.33152)|(2.90,0.39650,0.31821)|(2.90,0.43857,0.30500)|(2.90,0.48361,0.29181)|(2.90,0.53231,0.27858)|(2.90,0.58556,0.26523)|(2.90,0.64459,0.25167)|(2.90,0.71113,0.23776)|(2.90,0.78776,0.22336)|(2.90,0.87846,0.20824)|(2.90,0.98993,0.19206)|(2.90,1.13468,0.17428)|(2.90,1.33988,0.15390)|(2.90,1.68337,0.12857)|(2.90,2.60065,0.08941)
(3.00,-2.62158,7.79393)|(3.00,-1.71312,3.81833)|(3.00,-1.36899,2.73274)|(3.00,-1.16214,2.18884)|(3.00,-1.01560,1.85187)|(3.00,-0.90238,1.61835)|(3.00,-0.81003,1.44482)|(3.00,-0.73183,1.30954)|(3.00,-0.66379,1.20033)|(3.00,-0.60335,1.10977)|(3.00,-0.54875,1.03309)|(3.00,-0.49876,0.96704)|(3.00,-0.45247,0.90933)|(3.00,-0.40919,0.85830)|(3.00,-0.36839,0.81271)|(3.00,-0.32964,0.77163)|(3.00,-0.29260,0.73431)|(3.00,-0.25698,0.70017)|(3.00,-0.22255,0.66876)|(3.00,-0.18909,0.63968)|(3.00,-0.15644,0.61263)|(3.00,-0.12442,0.58735)|(3.00,-0.09289,0.56362)|(3.00,-0.06173,0.54125)|(3.00,-0.03081,0.52009)|(3.00,0.00000,0.50000)|(3.00,0.03081,0.48086)|(3.00,0.06173,0.46256)|(3.00,0.09289,0.44501)|(3.00,0.12442,0.42813)|(3.00,0.15644,0.41184)|(3.00,0.18909,0.39607)|(3.00,0.22255,0.38077)|(3.00,0.25698,0.36586)|(3.00,0.29260,0.35130)|(3.00,0.32964,0.33703)|(3.00,0.36839,0.32300)|(3.00,0.40919,0.30914)|(3.00,0.45247,0.29540)|(3.00,0.49876,0.28172)|(3.00,0.54875,0.26803)|(3.00,0.60335,0.25425)|(3.00,0.66379,0.24030)|(3.00,0.73183,0.22604)|(3.00,0.81003,0.21132)|(3.00,0.90238,0.19594)|(3.00,1.01560,0.17958)|(3.00,1.16214,0.16172)|(3.00,1.36899,0.14141)|(3.00,1.71312,0.11647)|(3.00,2.62158,0.07873)
